0,-99.7629383989223,67.5235438626538,4.03145884203124,-97.39883422851562,68.42879486083984,3.853158473968506,2.427240725345903,1.3229094565044013,4.627382166275042,97.5727592746541,98.6770905434956,95.37261783372496,2.53776652186571,실패
1,-61.8634026992174,79.4190550048353,7.65972502718486,-61.84489059448242,80.14360809326172,7.88166618347168,0.029933119061306218,0.9040684661754542,2.8159167252254838,99.97006688093869,99.09593153382454,97.18408327477452,0.7580090717292972,성공
2,-70.5785563970522,74.0693548170761,15.4686085213231,-70.51415252685547,74.3680419921875,15.418899536132812,0.09133467238679385,0.4016337758936483,0.3223899674149823,99.9086653276132,99.59836622410636,99.67761003258502,0.3095688457855397,성공
3,-71.1934754614898,74.4259445386707,20.1830145604804,-71.1409912109375,74.0306396484375,20.17386817932129,0.07377497791207012,0.5339747057575897,0.04533776605365082,99.92622502208793,99.46602529424241,99.95466223394635,0.39887868968726675,성공
4,-72.4352531519276,73.7044114325781,23.5275797881121,-72.54146575927734,74.87814331054688,23.489242553710938,0.1464164064484224,1.5675226789490282,0.1632118801340624,99.85358359355158,98.43247732105097,99.83678811986594,1.1791511280839588,성공
5,-97.8742936578706,72.8380805897617,2.99531559141922,-105.07278442382812,100.77210998535156,23.53996467590332,6.8509565111753865,27.720000503760822,87.27561560665647,93.14904348882462,72.27999949623918,12.724384393343527,35.41483973683698,실패
6,-103.585973048303,99.0220582574833,19.8369906959941,-103.56498718261719,99.73372650146484,19.807872772216797,0.020263475385567675,0.7135682872243789,0.14700177102381604,99.97973652461444,99.28643171277562,99.85299822897619,0.71257276788793,성공
7,-101.242893641365,99.1520517861837,12.2630322647258,-101.25800323486328,100,12.22029972076416,0.014921875817790474,0.847948213816295,0.3496849090291145,99.98507812418221,99.1520517861837,99.65031509097089,0.8491587268840625,성공
8,-96.4361630438562,104.363441071563,8.5781638456036,-96.92389678955078,104.27999877929688,8.550439834594727,0.5032131000196906,0.08001754242702741,0.32424075889877385,99.49678689998031,99.91998245757297,99.67575924110123,0.49559604882839303,성공
9,-78.5849316192881,108.734868959329,3.71834668660683,-78.85550689697266,109.81887817382812,3.8079309463500977,0.3431279416389685,0.9870882242880699,2.352570490521478,99.65687205836103,99.01291177571193,97.64742950947853,1.1208533791744668,성공

0,-96.8794473484381,67.8856793598036,4.02387295365251,-97.39883422851562,68.42879486083984,3.853158473968506,0.5332577994300649,0.7936943828117193,4.4305076169934665,99.46674220056994,99.20630561718828,95.56949238300653,0.770636498121057,성공
1,-61.4465841967318,79.5466650423574,7.70107058447897,-61.84489059448242,80.14360809326172,7.88166618347168,0.6440409125505977,0.7448417473414259,2.291337831224438,99.3559590874494,99.25515825265857,97.70866216877556,0.7400025424872304,성공
2,-70.5939762852771,74.1563012114448,15.4708286566071,-70.51415252685547,74.3680419921875,15.418899536132812,0.11320246441481971,0.284720123147716,0.33678875948699527,99.88679753558517,99.71527987685228,99.66321124051301,0.23216938685217706,성공
3,-71.1709921711956,74.4899563186604,20.1940316318568,-71.1409912109375,74.0306396484375,20.17386817932129,0.042171130521856705,0.6204413097119559,0.09994837061628914,99.95782886947815,99.37955869028805,99.90005162938371,0.460736829414815,성공
4,-72.1513112289262,73.5008718377027,23.5395375608236,-72.54146575927734,74.87814331054688,23.489242553710938,0.5378365687368852,1.8393504592283036,0.21411932290986893,99.46216343126312,98.1606495407717,99.78588067709013,1.4323501161393237,성공
5,-104.643390606659,100.849331534283,23.5723887826647,-105.07278442382812,100.77210998535156,23.53996467590332,0.40866321333705063,0.07662988196104903,0.1377406772176256,99.59133678666295,99.92337011803895,99.86225932278238,0.437485474663694,성공
6,-103.588084485515,99.2519167583769,19.8461320631625,-103.56498718261719,99.73372650146484,19.807872772216797,0.022302231213607124,0.4830960999746398,0.19315194208722364,99.9776977687864,99.51690390002535,99.80684805791277,0.4838779673422814,성공
7,-101.234296143354,98.9940405411671,12.2701269086107,-101.25800323486328,100,12.22029972076416,0.023412560737833796,1.0059594588329048,0.40774112734630064,99.97658743926216,98.9940405411671,99.5922588726537,1.0074716907446652,성공
8,-96.4416176519558,104.240182651673,8.57114977173932,-96.92389678955078,104.27999877929688,8.550439834594727,0.49758537736276814,0.038181941014545154,0.24220902719882992,99.50241462263723,99.96181805898546,99.75779097280117,0.4843628723125439,성공
9,-78.4364452331019,108.577512991653,3.75574003008837,-78.85550689697266,109.81887817382812,3.8079309463500977,0.5314298016221842,1.1303750346185657,1.3705846297384354,99.46857019837782,98.86962496538143,98.62941537026157,1.3112299895072008,성공
0,-97.0721196745102,68.7890549997435,4.04813726496828,-97.39883422851562,68.42879486083984,3.853158473968506,0.33543990191801226,0.5264744756009481,5.060232853567488,99.66456009808199,99.47352552439905,94.93976714643252,0.5239718469742196,성공
1,-61.4507969552028,79.5813514588895,7.84883259189629,-61.84489059448242,80.14360809326172,7.88166618347168,0.6372290992698179,0.7015614192437283,0.4165818598641447,99.36277090073018,99.29843858075627,99.58341814013586,0.6874011668247101,성공
2,-69.9263370875619,74.1128313934361,15.4942586861994,-70.51415252685547,74.3680419921875,15.418899536132812,0.8336134211776755,0.343172405666152,0.48874532122081665,99.16638657882233,99.65682759433385,99.51125467877918,0.6452429324569889,성공
3,-71.1549553263378,74.4031835889543,20.1902633121363,-71.1409912109375,74.0306396484375,20.17386817932129,0.019628789482134514,0.5032293956745097,0.08126915804781172,99.98037121051786,99.49677060432549,99.91873084195218,0.37316589409366474,성공
4,-72.1068431086361,73.5335543337752,23.550765820086,-72.54146575927734,74.87814331054688,23.489242553710938,0.599136846894579,1.7957028811400624,0.26192103144399626,99.40086315310542,98.20429711885994,99.73807896855601,1.4144262006947474,성공
5,-104.704799090226,100.537474653488,23.5840733324539,-105.07278442382812,100.77210998535156,23.53996467590332,0.35021945560878304,0.23283756973796116,0.18737775165708903,99.64978054439122,99.76716243026203,99.8126222483429,0.4386485133768076,성공
6,-101.253032314132,99.101664126128,12.2724238988823,-103.56498718261719,99.73372650146484,19.807872772216797,2.2323711240445525,0.6337498833231308,38.04269625511719,97.76762887595545,99.36625011667687,61.95730374488281,7.907441298098074,실패
7,-96.4499645530334,104.088968466276,8.4580751375369,-101.25800323486328,100,12.22029972076416,4.748304853175764,4.088968466276,30.78668010764633,95.25169514682423,95.911031533724,69.21331989235367,7.347872678456771,실패
8,-78.3174506909957,108.699793494375,3.74417413916568,-96.92389678955078,104.27999877929688,8.550439834594727,19.19696454111306,4.238391606076242,56.21074223554084,80.80303545888694,95.76160839392375,43.78925776445916,19.718889717144986,실패
9,-63.2461941895076,98.6186278902829,-4.61481031140215,-78.85550689697266,109.81887817382812,3.8079309463500977,19.79482894943424,10.198838733188277,221.18944320210022,80.20517105056575,89.80116126681172,-121.18944320210022,20.977102276256534,실패
0,-97.0721196745102,68.7890549997435,4.04813726496828,-97.39883422851562,68.42879486083984,3.853158473968506,0.33543990191801226,0.5264744756009481,5.060232853567488,99.66456009808199,99.47352552439905,94.93976714643252,0.5239718469742196,성공
1,-61.4507969552028,79.5813514588895,7.84883259189629,-61.84489059448242,80.14360809326172,7.88166618347168,0.6372290992698179,0.7015614192437283,0.4165818598641447,99.36277090073018,99.29843858075627,99.58341814013586,0.6874011668247101,성공
2,-69.9263370875619,74.1128313934361,15.4942586861994,-70.51415252685547,74.3680419921875,15.418899536132812,0.8336134211776755,0.343172405666152,0.48874532122081665,99.16638657882233,99.65682759433385,99.51125467877918,0.6452429324569889,성공
3,-71.1549553263378,74.4031835889543,20.1902633121363,-71.1409912109375,74.0306396484375,20.17386817932129,0.019628789482134514,0.5032293956745097,0.08126915804781172,99.98037121051786,99.49677060432549,99.91873084195218,0.37316589409366474,성공
4,-72.1068431086361,73.5335543337752,23.550765820086,-72.54146575927734,74.87814331054688,23.489242553710938,0.599136846894579,1.7957028811400624,0.26192103144399626,99.40086315310542,98.20429711885994,99.73807896855601,1.4144262006947474,성공
5,-104.704799090226,100.537474653488,23.5840733324539,-105.07278442382812,100.77210998535156,23.53996467590332,0.35021945560878304,0.23283756973796116,0.18737775165708903,99.64978054439122,99.76716243026203,99.8126222483429,0.4386485133768076,성공
6,-101.253032314132,99.101664126128,12.2724238988823,-103.56498718261719,99.73372650146484,19.807872772216797,2.2323711240445525,0.6337498833231308,38.04269625511719,97.76762887595545,99.36625011667687,61.95730374488281,7.907441298098074,실패
7,-96.4499645530334,104.088968466276,8.4580751375369,-101.25800323486328,100,12.22029972076416,4.748304853175764,4.088968466276,30.78668010764633,95.25169514682423,95.911031533724,69.21331989235367,7.347872678456771,실패
8,-78.3174506909957,108.699793494375,3.74417413916568,-96.92389678955078,104.27999877929688,8.550439834594727,19.19696454111306,4.238391606076242,56.21074223554084,80.80303545888694,95.76160839392375,43.78925776445916,19.718889717144986,실패
9,-63.2461941895076,98.6186278902829,-4.61481031140215,-78.85550689697266,109.81887817382812,3.8079309463500977,19.79482894943424,10.198838733188277,221.18944320210022,80.20517105056575,89.80116126681172,-121.18944320210022,20.977102276256534,실패
0,-96.9219938338039,68.2758860003809,4.03110070616418,-97.39883422851562,68.42879486083984,3.853158473968506,0.489575053427204,0.22345689525866022,4.618087561096469,99.5104249465728,99.77654310474134,95.38191243890353,0.5314332692205783,성공
1,-61.4068187161366,79.7462707448959,7.6995007469389,-61.84489059448242,80.14360809326172,7.88166618347168,0.7083396447707625,0.49578170713683,2.311255415952426,99.29166035522924,99.50421829286317,97.68874458404757,0.6188442334473193,성공
2,-70.5808492913685,74.1246880306596,15.4693926084803,-70.51415252685547,74.3680419921875,15.418899536132812,0.09458635199171406,0.32722921702505825,0.3274752016456262,99.90541364800829,99.67277078297494,99.67252479835437,0.25733083636229465,성공
3,-71.1566068645952,74.4422098628227,20.1937748001495,-71.1409912109375,74.0306396484375,20.17386817932129,0.021950289687984455,0.5559457764240459,0.09867527958082611,99.97804971031202,99.44405422357596,99.90132472041917,0.41234713962998415,성공
4,-72.1263931523925,73.5398654804646,23.5490176012444,-72.54146575927734,74.87814331054688,23.489242553710938,0.5721866832167846,1.78727432454081,0.25447839536239103,99.42781331678322,98.2127256754592,99.7455216046376,1.4024428244258438,성공
5,-104.63635430404,100.861710005117,23.5681736229,-105.07278442382812,100.77210998535156,23.53996467590332,0.41535981194494265,0.08891350967888444,0.11983427921434985,99.58464018805506,99.91108649032111,99.88016572078566,0.44642486231269474,성공
